# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1225 1 96 2082 1454213 5 16x16/actions/window-minimize.png
DUPTYPE_WITHIN_SAME_TREE -1225 2 96 2082 1457556 5 16x16/actions/symbolic/window-minimize-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1228 1 112 2082 1454110 5 16x16/actions/window-restore.png
DUPTYPE_WITHIN_SAME_TREE -1228 2 112 2082 1457632 5 16x16/actions/symbolic/window-restore-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1224 1 112 2082 1454334 5 16x16/actions/window-maximize.png
DUPTYPE_WITHIN_SAME_TREE -1224 2 112 2082 1457532 5 16x16/actions/symbolic/window-maximize-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 858 1 126 2082 1454455 5 16x16/actions/format-justify-fill.png
DUPTYPE_WITHIN_SAME_TREE -858 2 126 2082 1457583 5 16x16/actions/symbolic/format-justify-fill-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1227 1 127 2082 1454271 5 16x16/actions/window-pin.png
DUPTYPE_WITHIN_SAME_TREE -1227 2 127 2082 1457544 5 16x16/actions/symbolic/window-pin-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 859 1 128 2082 1454279 5 16x16/actions/format-justify-left.png
DUPTYPE_WITHIN_SAME_TREE -859 2 128 2082 1457644 5 16x16/actions/symbolic/format-text-direction-ltr-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -859 1 128 2082 1454161 5 16x16/actions/format-text-direction-ltr.png
DUPTYPE_WITHIN_SAME_TREE -859 2 128 2082 1457579 5 16x16/actions/symbolic/format-justify-left-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 860 1 129 2082 1453988 5 16x16/actions/format-justify-right.png
DUPTYPE_WITHIN_SAME_TREE -860 2 129 2082 1457551 5 16x16/actions/symbolic/format-text-direction-rtl-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -860 1 129 2082 1454411 5 16x16/actions/format-text-direction-rtl.png
DUPTYPE_WITHIN_SAME_TREE -860 2 129 2082 1457612 5 16x16/actions/symbolic/format-justify-right-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 857 1 129 2082 1454435 5 16x16/actions/format-justify-center.png
DUPTYPE_WITHIN_SAME_TREE -857 2 129 2082 1457589 5 16x16/actions/symbolic/format-justify-center-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3540 1 131 2082 1453293 9 32x32/actions/format-justify-fill.png
DUPTYPE_WITHIN_SAME_TREE -3540 2 131 2082 1457390 9 32x32/actions/symbolic/format-justify-fill-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 1229 1 131 2082 1454373 5 16x16/actions/window-unpin.png
DUPTYPE_WITHIN_SAME_TREE -1229 2 131 2082 1457636 5 16x16/actions/symbolic/window-unpin-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3542 1 133 2082 1452813 9 32x32/actions/format-justify-right.png
DUPTYPE_WITHIN_SAME_TREE -3542 1 133 2082 1453240 9 32x32/actions/format-text-direction-rtl.png
DUPTYPE_WITHIN_SAME_TREE -3542 2 133 2082 1457416 9 32x32/actions/symbolic/format-justify-right-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -3542 2 133 2082 1457361 9 32x32/actions/symbolic/format-text-direction-rtl-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3541 1 134 2082 1453158 9 32x32/actions/format-justify-left.png
DUPTYPE_WITHIN_SAME_TREE -3541 2 134 2082 1457387 9 32x32/actions/symbolic/format-justify-left-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -3541 2 134 2082 1457438 9 32x32/actions/symbolic/format-text-direction-ltr-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3539 1 135 2082 1453274 9 32x32/actions/format-justify-center.png
DUPTYPE_WITHIN_SAME_TREE -3539 2 135 2082 1457396 9 32x32/actions/symbolic/format-justify-center-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 861 1 137 2082 1453908 5 16x16/actions/format-list-ordered.png
DUPTYPE_WITHIN_SAME_TREE -861 1 137 2082 1453984 5 16x16/actions/media-standard-track-progression-amarok.png
DUPTYPE_FIRST_OCCURRENCE 2193 1 146 2082 1456864 6 22x22/actions/edit-clear.png
DUPTYPE_WITHIN_SAME_TREE -2193 2 146 2082 1457963 6 22x22/actions/symbolic/edit-clear-symbolic.png
DUPTYPE_FIRST_OCCURRENCE 3342 1 149 2082 1457033 7 24x24/status/network-wireless-0.png
DUPTYPE_WITHIN_SAME_TREE -3342 1 149 2082 1457044 7 24x24/status/nm-nm-signal-00.png
DUPTYPE_WITHIN_SAME_TREE -3342 2 149 2082 1457928 7 24x24/status/symbolic/network-wireless-signal-none-symbolic.png
DUPTYPE_WITHIN_SAME_TREE -3342 1 149 2082 1457012 7 24x24/status/network-wireless-signal-none.png
DUPTYPE_WITHIN_SAME_TREE -3342 1 149 2082 1457046 7 24x24/status/network-wireless-connected-00.png
DUPTYPE_FIRST_OCCURRENCE 3492 1 156 2082 1453198 9 32x32/actions/edit-clear.png
DUPTYPE_WITHIN_SAME_TREE -3492 2 156 2082 1457372 9 32x32/actions/symbolic/edit-clear-symbolic.png
